"","x"
"1829",52031
"1830",4189
"1831",49536
"1832",4199
"1833",4201
"1834",49985
"1835",4202
"1836",4203
"1837",4205
"1838",4218
"1839",4215
"1840",4220
"1841",45811
"1842",4271
"1843",4274
"1844",4294
"1845",4293
"1846",4311
"1847",4318
"1848",50801
"1849",46003
"1850",4356
"1851",4358
"1852",4366
"1853",4362
"1854",50992
"1855",4385
"1856",4391
"1857",4400
"1858",4406
"1859",4405
"1860",52556
"1861",4417
"1862",4420
"1863",4427
"1864",4432
"1865",4438
"1866",50224
"1867",4448
"1868",4450
"1869",52274
"1870",4452
"1871",4456
"1872",4459
"1873",45201
"1874",4466
"1875",4479
"1876",4483
"1877",4484
"1878",4482
"1879",45013
"1880",4485
"1881",4489
"1882",4495
"1883",4499
"1884",4502
"1885",4510
"1886",4508
"1887",4497
"1888",4517
"1889",4527
"1890",45803
"1891",4536
"1892",4547
"1893",4539
"1894",4545
"1895",4546
"1896",4551
"1897",4560
"1898",4556
"1899",4564
"1900",4567
"1901",45002
"1902",4594
"1903",4592
"1904",4635
"1905",4639
"1906",4646
"1907",4649
"1908",4642
"1909",4653
"1910",50991
"1911",4665
"1912",4659
"1913",4668
"1914",4669
"1915",4672
"1916",51055
"1917",4676
"1918",4681
"1919",4685
"1920",4699
"1921",4696
"1922",4697
"1923",4705
"1924",4716
"1925",52008
"1926",4739
"1927",4757
"1928",47011
"1929",4794
"1930",4797
"1931",4801
"1932",49770
"1933",4804
"1934",4810
"1935",3897
"1936",4824
"1937",4814
"1938",4826
"1939",4828
"1940",4829
"1941",51860
"1942",4832
"1943",4839
"1944",52543
"1945",4840
"1946",4841
"1947",51569
"1948",4842
"1949",4847
"1950",4851
"1951",51868
"1952",49519
"1953",4855
"1954",4860
"1955",4889
"1956",4891
"1957",50800
"1958",4894
"1959",4910
"1960",4911
"1961",50744
"1962",52055
"1963",4929
"1964",4932
"1965",4942
"1966",4945
"1967",51852
"1968",4956
"1969",4951
"1970",4964
"1971",4960
"1972",52262
"1973",49995
"1974",52535
"1975",4970
"1976",4973
"1977",4972
"1978",4981
"1979",4992
"1980",4989
"1981",4996
"1982",4999
"1983",5003
"1984",5009
"1985",5008
"1986",5020
"1987",5024
"1988",5028
"1989",52290
"1990",5038
"1991",5056
"1992",5050
"1993",5051
"1994",5080
"1995",52278
"1996",5077
"1997",5076
"1998",5075
"1999",5071
"2000",5072
"2001",5073
"2002",50772
"2003",5095
"2004",5092
"2005",5094
"2006",5091
"2007",5099
"2008",5103
"2009",5104
"2010",5105
"2011",5107
"2012",5110
"2013",46020
"2014",5112
"2015",5120
"2016",5134
"2017",5131
"2018",5132
"2019",51757
"2020",5137
"2021",5140
"2022",5158
"2023",5168
"2024",5165
"2025",5178
"2026",4050
"2027",4053
"2028",46151
"2029",4054
"2030",47659
"2031",45324
"2032",4067
"2033",51090
"2034",48423
"2035",4076
"2036",305101
"2037",52129
"2038",46208
"2039",4085
"2040",52427
"2041",4092
"2042",45336
"2043",4096
"2044",4104
"2045",4102
"2046",4099
"2047",4107
"2048",45752
"2049",45605
"2050",4124
"2051",46015
"2052",45187
"2053",46155
"2054",45388
"2055",48215
"2056",47688
"2057",46949
"2058",45123
"2059",305065
"2060",3928
"2061",45595
"2062",46965
"2063",45660
"2064",3984
"2065",45406
"2066",52659
"2067",3988
"2068",46329
"2069",47614
"2070",49236
"2071",305069
"2072",46305
"2073",45993
"2074",45929
"2075",3994
"2076",47295
"2077",45897
"2078",45022
"2079",45143
"2080",52627
"2081",305013
"2082",47847
"2083",45083
"2084",46293
"2085",305045
"2086",4021
"2087",51141
"2088",52205
"2089",45280
"2090",4027
"2091",45107
"2092",4026
"2093",4025
"2094",45008
"2095",45606
"2096",305137
"2097",46254
"2098",46962
"2099",50922
"2100",48249
"2101",47087
"2102",45475
"2103",47775
"2104",47008
"2105",47835
"2106",65362
"2107",6419
"2108",6424
