"","yr","UTM_E_km","UTM_N_km","est"
"347",2016,448.438,5058.919,2.00151422557969
"348",2002,450.275,5059.649,3.07742384594831
"349",2003,441.161,5062.692,2.87836411213317
"350",2009,441.877,5063.071,3.59179907325779
"351",2012,441.161,5062.692,0.849640281276168
"352",2011,443.931,5063.276,3.2067772036831
"353",2000,439.02,5065.969,1.40875039374178
"354",2005,438.807,5065.464,2.26162142015478
"355",2001,443.691,5065.401,1.9048346102754
"356",2002,447.215,5066.505,2.76492433777674
"357",2000,450.711,5065.499,2.23722501002105
"358",2002,450.711,5065.499,3.14862389946452
"359",2011,465.182,5060.202,2.56917900219477
"360",2011,465.725,5062.851,2.68809940629962
"361",2013,465.725,5062.851,1.95961575898378
"362",1999,451.842,5068.968,2.75248806285498
"363",1999,452.571,5069.558,2.65248943775295
"364",2000,453.774,5070.013,2.58992777447194
"365",2002,452.571,5069.558,3.40797261651785
"366",2003,453.774,5070.013,4.16654111180168
"367",2005,452.571,5069.558,3.41350818639198
"368",2000,454.626,5077.712,2.76105842580901
"369",2002,454.472,5078.453,3.4918573087498
"370",2001,452.233,5078.632,3.74739828476004
"371",2003,452.27,5079.992,3.92640131764111
"372",2004,450.513,5079.402,3.15214975588826
"373",2001,453.016,5080.342,3.77516500755824
"374",2004,452.924,5081.524,3.23397946429663
"375",2009,453.116,5081.872,4.5226056051843
"376",2012,453.116,5081.872,2.35943475498331
"377",2015,453.116,5081.872,1.80047899620442
"378",2018,453.116,5081.872,2.28314975459394
"379",2002,454.107,5083.463,3.48846433944075
"380",2013,453.701,5082.18,1.54027187870587
"381",2015,453.355,5082.025,1.6256860713633
"382",1999,452.307,5083.526,2.75134503576133
"383",2001,451.808,5081.986,4.03689902107622
"384",2002,452.307,5083.526,3.89105590155372
"385",2004,451.808,5081.986,3.5044636201645
"386",2002,452.307,5083.526,3.88793241084208
"387",2003,452.485,5084.389,4.10148263437078
"388",2005,452.307,5083.526,3.63454919432623
"389",2011,452.307,5083.526,4.05628170498436
"390",2000,451.988,5085.749,3.09991698333368
"391",2011,452.421,5084.897,3.84027527060858
"392",2019,450.16,5086.696,2.90556022923092
"393",2006,451.335,5087.393,3.1320375645132
"394",2012,451.335,5087.393,2.60701360787132
"395",2018,451.335,5087.393,2.07512490083136
"396",2010,451.115,5087.672,4.03219249420381
"397",1999,449.483,5082.584,2.52473885393139
"398",2004,448.396,5083.065,3.48548543424199
"399",2017,447.998,5082.841,1.94367886699004
"400",1999,450.194,5082.587,2.71081582402406
"401",2000,450.194,5082.587,3.30324136456266
"402",2002,450.194,5082.587,3.92322120209955
"403",2003,450.194,5082.587,4.12133721863966
"404",2004,450.194,5082.587,3.58170768494683
"405",2006,450.194,5082.587,3.39814802415662
"406",2010,450.194,5082.587,4.3328784049612
"407",2011,450.194,5082.587,4.15171724958491
"408",2013,450.194,5082.587,2.11438831500134
"409",2015,450.194,5082.587,2.1118499605169
"410",2016,450.194,5082.587,2.28921269150881
"411",2017,450.194,5082.587,2.28199165119075
"412",2018,450.194,5082.587,2.45586637133358
"413",2019,450.194,5082.587,3.07948717168215
"414",2020,450.194,5082.587,2.94161751222106
"415",2000,448.659,5084.865,3.31182663262605
"416",2004,458.692,5076.892,2.90160350215815
"417",2007,455.607,5081.975,2.46029509940093
"418",2009,455.607,5081.975,4.25176782477776
"419",2010,455.607,5081.975,4.0499591334486
"420",2011,455.607,5081.975,3.63849663878789
"421",2012,455.607,5081.975,2.0048425120716
"422",2013,455.607,5081.975,1.6167112634926
"423",2015,455.607,5081.975,1.63249641840949
"424",2016,455.607,5081.975,1.8545150274901
"425",2017,455.607,5081.975,1.89172859141542
"426",2018,455.607,5081.975,2.0220965120623
"427",2019,455.607,5081.975,2.77125841212565
"428",2020,455.607,5081.975,2.50305932460488
"429",2004,455.479,5082.701,2.87545074442297
"430",2005,459.126,5078.659,3.19422458370433
