"","UTM_E_km","UTM_N_km","pred"
"501612",477,5085,19.5340666209219
"501613",478,5085,21.2449905718238
"501614",479,5085,23.105768663319
"501615",480,5085,25.1295261213658
"501616",481,5085,27.3305377668268
"501617",482,5085,26.7355348888832
"501618",483,5085,26.0627685794359
"501619",484,5085,25.4069315930415
"501620",485,5085,24.7675979244514
"501621",486,5085,24.1443522883061
"501622",487,5085,23.5367898493831
"501623",488,5085,22.9445159596324
"501624",489,5085,23.3435828819738
"501625",490,5085,24.6042256717944
"501626",491,5085,25.9329479955736
"501627",492,5085,27.3334264086222
"501628",493,5085,28.8095360143045
"501629",494,5085,30.3653611863931
"501630",495,5085,32.0052068704714
"501631",496,5085,32.2375169826101
"501632",497,5085,31.1414045754903
"501633",425,5084,10.1063881131008
"501634",426,5084,10.0724929906616
"501635",427,5084,10.0387115467506
"501636",428,5084,10.005043400109
"501637",429,5084,9.65313554201559
"501638",430,5084,9.07233399828027
"501639",431,5084,8.7548194353131
"501640",432,5084,8.98834631190065
"501641",433,5084,9.22810230634629
"501642",434,5084,9.47425357472529
"501643",435,5084,9.72697070517573
"501644",436,5084,9.98642883611971
"501645",437,5084,10.2528077776381
"501646",438,5084,10.5262921360826
"501647",439,5084,10.8070714420123
"501648",440,5084,11.0953402815423
"501649",441,5084,11.3912984311956
"501650",442,5084,11.6951509963535
"501651",443,5084,12.0071085533971
"501652",444,5084,12.3273872956419
"501653",445,5084,12.6902792332117
"501654",446,5084,13.0832854767684
"501655",447,5084,13.4884627612167
"501656",448,5084,13.9061880124677
"501657",449,5084,14.3368498294803
"501658",450,5084,16.0171065846378
"501659",451,5084,19.6271722887324
"501660",452,5084,24.05090395172
"501661",453,5084,27.3058692137735
"501662",454,5084,28.8229576104613
"501663",455,5084,30.4243340107774
"501664",456,5084,32.1146813768823
"501665",457,5084,33.8989428519068
"501666",458,5084,35.7823362153625
"501667",459,5084,37.7703691416803
"501668",460,5084,39.8688553064993
