"","yr","UTM_E_km","UTM_N_km","est"
"380",2008,426.312,4931.636,3.66631483743538
"381",2009,426.312,4931.636,4.13574799445765
"382",2010,426.312,4931.636,4.04022573539981
"383",2011,426.312,4931.636,3.8635287244375
"384",2012,426.312,4931.636,4.17425921921957
"385",2013,426.312,4931.636,4.1761448634229
"386",2014,426.312,4931.636,3.97434150427796
"387",2009,433.708,4916.666,5.21923422054989
"388",2015,434.462,4903.628,6.78040421008938
"389",1998,434.462,4903.628,5.67037400179644
"390",2001,434.462,4903.628,6.60584094012052
"391",2005,434.462,4903.628,6.31568325542434
"392",2006,434.462,4903.628,7.02577464657525
"393",2011,434.462,4903.628,6.5954187932019
"394",2012,434.462,4903.628,6.76460708087907
"395",2013,434.462,4903.628,6.81842809490526
"396",2014,434.462,4903.628,6.45824554039733
"397",2019,431.212,4898.297,6.10516789614568
"398",2015,431.212,4898.297,6.22838844400376
"399",2016,431.212,4898.297,6.01278183404158
"400",2017,431.212,4898.297,6.09627901128843
"401",2018,431.212,4898.297,5.84805072538009
"402",2007,431.212,4898.297,6.02737285695382
"403",2008,431.212,4898.297,5.59970223947526
"404",2009,431.212,4898.297,6.15423853425601
"405",2010,431.212,4898.297,6.09367040981501
"406",2011,431.212,4898.297,6.01962695772342
"407",2012,431.212,4898.297,6.18512549037371
"408",2013,431.212,4898.297,6.24195041941279
"409",2014,431.212,4898.297,5.86166352434791
"410",2019,457.122,4919.283,6.83153308446093
"411",2015,457.121,4919.282,6.8445398910614
"412",2016,457.121,4919.282,6.66164587231596
"413",2017,457.121,4919.282,6.74709262509671
"414",2018,457.121,4919.282,6.52817529507437
"415",1998,457.122,4919.283,5.75669738218996
"416",2017,428.327,4991.139,4.00415461290175
"417",2018,428.327,4991.139,3.81219918333499
"418",1998,428.327,4991.139,2.96294988352404
"419",1999,428.327,4991.139,2.552306538969
"420",2000,428.327,4991.139,3.81303023174843
"421",2001,428.327,4991.139,4.26421415971794
"422",2002,428.327,4991.139,4.11248345890117
"423",2003,428.327,4991.139,4.22280917307563
"424",2004,428.327,4991.139,4.13215357362187
"425",2005,428.327,4991.139,4.02127008669224
"426",2006,428.327,4991.139,4.56520532768845
"427",2012,428.327,4991.139,4.15902270660457
"428",1999,457.122,4919.283,5.66954155633823
"429",2000,457.122,4919.283,6.54525486884754
"430",2001,457.122,4919.283,6.75522125926223
"431",2002,457.122,4919.283,6.77238817047609
"432",2003,457.122,4919.283,6.71501849689647
"433",2004,457.122,4919.283,6.77007097534124
"434",2005,457.122,4919.283,6.38619337967433
"435",2006,457.122,4919.283,7.1082253854863
"436",2007,457.122,4919.283,6.69996794074768
"437",2008,457.122,4919.283,6.15198928512666
"438",2009,457.122,4919.283,6.84727863306254
"439",2010,457.122,4919.283,6.63269150705589
"440",2011,457.122,4919.283,6.67752930799657
"441",2012,457.122,4919.283,6.84448319281962
"442",2013,457.122,4919.283,6.86576496503746
"443",2014,457.122,4919.283,6.58596126844245
"444",2007,445.46,4911.338,5.31384126285386
"445",2008,445.46,4911.338,4.87497381442671
"446",2009,445.46,4911.338,5.52522936330895
"447",2019,429.131,4889.946,6.14549710675095
"448",2015,429.131,4889.946,6.28638065817804
"449",2016,429.131,4889.946,6.0471781200562
"450",2017,429.131,4889.946,6.21790793960923
"451",2018,429.131,4889.946,5.95748456704986
"452",1998,429.131,4889.946,5.27403735327962
"453",1999,429.131,4889.946,5.15626467178629
"454",2000,429.131,4889.946,6.0986687580082
"455",2001,429.131,4889.946,6.10559364285119
"456",2002,429.131,4889.946,6.18945466686027
"457",2003,429.131,4889.946,6.20255371383218
"458",2004,429.131,4889.946,6.21934662062342
"459",2005,429.131,4889.946,5.88685325991983
"460",2006,429.131,4889.946,6.51265173424324
